NAICS Code,Business Type,Q1 1992,Q2 1992,Q3 1992,Q4 1992,Q1 1993,Q2 1993,Q3 1993,Q4 1993,Q1 1994,Q2 1994,Q3 1994,Q4 1994,Q1 1995,Q2 1995,Q3 1995,Q4 1995,Q1 1996,Q2 1996,Q3 1996,Q4 1996,Q1 1997,Q2 1997,Q3 1997,Q4 1997,Q1 1998,Q2 1998,Q3 1998,Q4 1998,Q1 1999,Q2 1999,Q3 1999,Q4 1999,Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
441,Motor vehicle and parts dealers,104536.11847993826,97377.80736882715,100049.1082947531,109514.10829475308,115345.6869984568,117823.16385030864,116634.5018132716,132727.0643132716,132570.74764660496,128876.9018132716,132146.71847993825,144848.07264660494,141917.11847993828,142012.80736882717,143190.1082947531,145679.1082947531,161170.6869984568,159543.16385030863,153349.5018132716,163058.0643132716,164256.74764660496,156625.9018132716,163140.71847993825,167095.07264660494,168668.11847993828,173538.80736882717,165058.1082947531,174234.1082947531,188419.6869984568,194440.16385030863,194047.5018132716,196911.0643132716,208802.74764660496,196955.9018132716,196683.71847993825,191069.07264660494,200551.11847993828,200805.80736882717,194230.1082947531,213076.1082947531,204373.6869984568,206396.16385030863,212817.5018132716,204838.0643132716,203089.74764660496,208665.9018132716,218000.71847993825,209133.07264660494,213410.11847993828,212544.80736882717,219710.1082947531,213791.1082947531,220590.6869984568,233757.16385030863,230018.5018132716,213555.0643132716,224013.74764660496,223213.9018132716,228624.71847993825,221446.07264660494,228163.11847993828,228718.80736882717,228116.1082947531,218225.1082947531,222587.6869984568,211674.16385030863,191518.5018132716,169699.0643132716,165302.74764660496,158110.9018132716,172343.71847993825,173316.07264660494,177512.11847993828,180757.80736882717,185650.1082947531,192077.1082947531,206724.6869984568,201403.16385030863,199105.5018132716,215319.0643132716,221824.74764660496,214158.9018132716,219023.71847993825,228788.07264660494,234654.11847993828,237825.80736882717,241961.1082947531,240825.1082947531,248243.6869984568,261803.16385030863,260575.5018132716,266007.0643132716,264466.74764660496,273041.9018132716,280885.7184799383,282872.0726466049,280771.11847993825,281841.80736882717,290975.10829475307,291875.10829475307,292090.6869984568,297971.1638503086,298654.5018132716,306594.0643132716,295555.74764660496,298280.9018132716,299980.7184799383,308380.0726466049,296975.11847993825,306596.80736882717,313356.10829475307,312614.10829475307,278956.6869984568,275310.1638503086,325953.5018132716,337589.0643132716,350197.74764660496,394849.9018132716,364442.7184799383,371919.0726466049,380362.11847993825,388494.80736882717,379744.10829475307,374608.10829475307,390063.6869984568,409350.1638503086,403926.5018132716
"4411,4412",Automobile and other motor vehicle dealers,94018.26045524691,87108.5396219136,89773.71554783951,98557.8405478395,104269.07665895062,106824.72943672839,105407.86878858025,121056.49795524692,120500.93128858025,116973.52712191358,119917.43128858025,132068.58128858026,129166.26045524691,129209.5396219136,130180.71554783951,132243.8405478395,147283.07665895062,145799.7294367284,139703.86878858024,148608.49795524692,149981.93128858026,142283.52712191356,148376.43128858024,152190.58128858026,153779.2604552469,158588.5396219136,150028.7155478395,159007.8405478395,173025.07665895062,178861.7294367284,178364.86878858024,180755.49795524692,192741.93128858026,181227.52712191356,180814.43128858024,175546.58128858026,185377.2604552469,185334.5396219136,178846.7155478395,197916.8405478395,188735.07665895062,190621.7294367284,197049.86878858024,189234.49795524692,187514.93128858026,192868.52712191356,201770.43128858024,192777.58128858026,196603.2604552469,195992.5396219136,203038.7155478395,196942.8405478395,202991.07665895062,216252.7294367284,212709.86878858024,195740.49795524692,205869.93128858026,205470.52712191356,210594.43128858024,203346.58128858026,209645.2604552469,210048.5396219136,209386.7155478395,199311.8405478395,203656.07665895062,192499.7294367284,172414.86878858024,150428.49795524692,146555.93128858026,139488.52712191356,154054.43128858024,155006.58128858026,158928.2604552469,161347.5396219136,165691.7155478395,171994.8405478395,186597.07665895062,180712.7294367284,177819.86878858024,194296.49795524692,200569.93128858026,193387.52712191356,198146.43128858024,207814.58128858026,213609.2604552469,216631.5396219136,220447.7155478395,218952.8405478395,226277.07665895062,240128.7294367284,239142.86878858024,244110.49795524692,242439.93128858026,250288.52712191356,257957.43128858024,259941.58128858026,257330.2604552469,258774.5396219136,267944.7155478395,268664.84054783947,268635.0766589506,274550.7294367284,275433.86878858024,283085.49795524694,272093.93128858024,274657.52712191356,276250.43128858024,284506.58128858026,273098.2604552469,282180.5396219136,288999.7155478395,288391.84054783947,255618.07665895062,251149.7294367284,300082.86878858024,312740.49795524694,323798.93128858024,366366.52712191356,335887.43128858024,342335.58128858026,350209.2604552469,357148.5396219136,348005.7155478395,342980.84054783947,358015.0766589506,375450.7294367284,369864.86878858024
4411,Automobile dealers,88967.93275462963,85275.54247685184,85674.90358796295,91557.78321759259,97947.49618055555,104183.6119212963,100582.8494212963,113742.0244212963,114349.89525462964,113203.5994212963,114368.67025462963,123815.69108796296,122343.93275462963,124678.54247685184,123655.90358796295,124037.78321759259,139600.49618055555,141111.6119212963,132871.8494212963,139695.0244212963,141741.89525462964,136643.5994212963,140757.67025462963,143152.69108796294,145174.9327546296,151551.54247685184,141279.90358796297,148526.7832175926,162702.49618055555,170391.6119212963,168907.8494212963,169148.0244212963,180544.89525462964,170830.5994212963,170216.67025462963,163827.69108796294,174097.9327546296,173853.54247685184,167589.90358796297,185166.7832175926,175838.49618055555,178885.6119212963,184952.8494212963,176335.0244212963,174894.89525462964,179285.5994212963,187400.67025462963,178316.69108796294,181673.9327546296,179967.54247685184,187729.90358796297,181734.7832175926,186912.49618055555,198651.6119212963,196524.8494212963,180312.0244212963,189417.89525462964,187436.5994212963,194125.67025462963,187455.69108796294,193459.9327546296,191575.54247685184,192283.90358796297,183115.7832175926,187342.49618055555,176084.6119212963,157641.8494212963,137766.0244212963,134960.89525462964,129142.5994212963,142404.67025462963,143125.69108796294,148064.9327546296,151086.54247685184,154992.90358796297,160067.7832175926,174898.49618055555,170550.6119212963,166619.8494212963,181766.0244212963,187605.89525462964,181579.5994212963,185896.67025462963,195333.69108796294,200818.9327546296,202783.54247685184,206215.90358796297,205140.7832175926,211677.49618055555,225202.6119212963,223984.8494212963,229755.0244212963,227417.89525462964,233964.5994212963,241722.67025462963,244252.69108796294,241154.9327546296,241186.54247685184,250659.90358796297,252549.7832175926,251424.49618055555,255345.6119212963,257205.8494212963,265941.0244212963,254485.89525462964,254760.5994212963,256903.67025462963,267086.69108796294,255195.9327546296,262146.54247685184,269487.90358796297,270586.7832175926,237979.49618055555,228310.6119212963,275832.84942129627,290421.0244212963,299260.89525462966,337034.5994212963,309323.67025462963,316653.69108796294,321276.93275462964,327104.54247685184,319038.90358796297,319018.7832175926,332215.49618055555,347520.6119212963,343039.84942129627
44111,New car dealers,84088.54737654323,79128.00200617284,79629.97422839506,84597.39552469135,91807.02052469135,97031.07608024692,93657.36404320988,104789.0223765432,107883.61404320988,106312.76820987654,106063.15154320988,113996.06404320987,114537.54737654323,116029.00200617284,113804.97422839506,113913.39552469135,129839.02052469135,130081.07608024692,122582.36404320988,127600.0223765432,131275.61404320988,125716.76820987654,129561.15154320988,131013.06404320987,133848.54737654323,138904.00200617284,128439.97422839506,135009.39552469135,149676.02052469135,155684.07608024692,154625.36404320988,153944.0223765432,166236.61404320988,157140.76820987655,155753.15154320988,149587.0640432099,160205.54737654323,159135.00200617284,153559.97422839506,170155.39552469135,161205.02052469135,163198.07608024692,169340.36404320988,159778.0223765432,159165.61404320988,164101.76820987655,171843.15154320988,162689.0640432099,166059.54737654323,163805.00200617284,170771.97422839506,163559.39552469135,168634.02052469135,180756.07608024692,178355.36404320988,161964.0223765432,171186.61404320988,169104.76820987655,175372.15154320988,168553.0640432099,174501.54737654323,171637.00200617284,171910.97422839506,163300.39552469135,166932.02052469135,155922.07608024692,139481.36404320988,121020.0223765432,118145.61404320988,113692.76820987654,126459.15154320988,126862.06404320987,131089.54737654323,133909.00200617284,136859.97422839506,141257.39552469135,154573.02052469135,151498.07608024692,147896.36404320988,162583.0223765432,167065.61404320988,162741.76820987655,166340.15154320988,174997.0640432099,178368.54737654323,181867.00200617284,185798.97422839506,184839.39552469135,189245.02052469135,202060.07608024692,200384.36404320988,205281.0223765432,201761.61404320988,208648.76820987655,217044.15154320988,219834.0640432099,213678.54737654323,214915.00200617284,223919.97422839506,225351.39552469135,222454.02052469135,226243.07608024692,228329.36404320988,237223.0223765432,224706.61404320988,225978.76820987655,227797.15154320988,238439.0640432099,224667.54737654323,231107.00200617284,239148.97422839506,241084.39552469135,210409.02052469135,200894.07608024692,242336.36404320988,259492.0223765432,262966.6140432099,293344.76820987655,266950.15154320985,273977.0640432099,280118.5473765432,283552.00200617284,276483.97422839503,281092.3955246914,288908.0205246914,302269.0760802469,299487.3640432099
44112,Used car dealers,4879.385378086421,6147.540470679012,6044.9293595679,6960.387692901233,6140.4756558641975,7152.535841049383,6925.4853780864205,8953.002044753086,6466.281211419753,6890.831211419752,8305.518711419754,9819.627044753086,7806.385378086421,8649.540470679012,9850.929359567901,10124.387692901233,9761.475655864198,11030.535841049383,10289.48537808642,12095.002044753086,10466.281211419753,10926.831211419752,11196.518711419754,12139.627044753086,11326.385378086421,12647.540470679012,12839.929359567901,13517.387692901233,13026.475655864198,14707.535841049383,14282.48537808642,15204.002044753086,14308.281211419753,13689.831211419752,14463.518711419754,14240.627044753086,13892.385378086421,14718.540470679012,14029.929359567901,15011.387692901233,14633.475655864198,15687.535841049383,15612.48537808642,16557.002044753088,15729.281211419753,15183.831211419752,15557.518711419754,15627.627044753086,15614.385378086421,16162.540470679012,16957.9293595679,18175.387692901233,18278.475655864197,17895.535841049383,18169.48537808642,18348.002044753088,18231.281211419755,18331.831211419754,18753.518711419754,18902.627044753084,18958.38537808642,19938.54047067901,20372.9293595679,19815.387692901233,20410.475655864197,20162.535841049383,18160.48537808642,16746.002044753088,16815.281211419755,15449.831211419752,15945.518711419754,16263.627044753086,16975.38537808642,17177.54047067901,18132.9293595679,18810.387692901233,20325.475655864197,19052.535841049383,18723.48537808642,19183.002044753088,20540.281211419755,18837.831211419754,19556.518711419754,20336.627044753084,22450.38537808642,20916.54047067901,20416.9293595679,20301.387692901233,22432.475655864197,23142.535841049383,23600.48537808642,24474.002044753088,25656.281211419755,25315.831211419754,24678.518711419754,24418.627044753084,27476.38537808642,26271.54047067901,26739.9293595679,27198.387692901233,28970.475655864197,29102.535841049383,28876.48537808642,28718.002044753088,29779.281211419755,28781.831211419754,29106.518711419754,28647.627044753084,30528.38537808642,31039.54047067901,30338.9293595679,29502.387692901233,27570.475655864197,27416.535841049383,33496.48537808642,30929.002044753088,36294.28121141975,43689.831211419754,42373.518711419754,42676.627044753084,41158.38537808642,43552.540470679014,42554.9293595679,37926.38769290123,43307.4756558642,45251.53584104939,43552.48537808642
4413,"Automotive parts, acc., and tire stores",10517.858024691359,10269.267746913582,10275.392746913582,10956.26774691358,11076.610339506173,10998.434413580248,11226.633024691357,11670.566358024693,12069.816358024691,11903.374691358023,12229.287191358024,12779.49135802469,12750.858024691359,12803.267746913582,13009.392746913582,13435.26774691358,13887.610339506173,13743.434413580248,13645.633024691357,14449.566358024693,14274.816358024691,14342.374691358023,14764.287191358024,14904.49135802469,14888.858024691359,14950.267746913582,15029.392746913582,15226.26774691358,15394.610339506173,15578.434413580248,15682.633024691357,16155.566358024693,16060.816358024691,15728.374691358023,15869.287191358024,15522.49135802469,15173.858024691359,15471.267746913582,15383.392746913582,15159.26774691358,15638.610339506173,15774.434413580248,15767.633024691357,15603.566358024693,15574.816358024691,15797.374691358023,16230.287191358024,16355.49135802469,16806.85802469136,16552.26774691358,16671.39274691358,16848.26774691358,17599.610339506173,17504.434413580246,17308.633024691357,17814.56635802469,18143.81635802469,17743.374691358025,18030.287191358024,18099.49135802469,18517.85802469136,18670.26774691358,18729.39274691358,18913.26774691358,18931.610339506173,19174.434413580246,19103.633024691357,19270.56635802469,18746.81635802469,18622.374691358025,18289.287191358024,18309.49135802469,18583.85802469136,19410.26774691358,19958.39274691358,20082.26774691358,20127.610339506173,20690.434413580246,21285.633024691357,21022.56635802469,21254.81635802469,20771.374691358025,20877.287191358024,20973.49135802469,21044.85802469136,21194.26774691358,21513.39274691358,21872.26774691358,21966.610339506173,21674.434413580246,21432.633024691357,21896.56635802469,22026.81635802469,22753.374691358025,22928.287191358024,22930.49135802469,23440.85802469136,23067.26774691358,23030.39274691358,23210.26774691358,23455.610339506173,23420.434413580246,23220.633024691357,23508.56635802469,23461.81635802469,23623.374691358025,23730.287191358024,23873.49135802469,23876.85802469136,24416.26774691358,24356.39274691358,24222.26774691358,23338.610339506173,24160.434413580246,25870.633024691357,24848.56635802469,26398.81635802469,28483.374691358025,28555.287191358024,29583.49135802469,30152.85802469136,31346.26774691358,31738.39274691358,31627.26774691358,32048.610339506173,33899.434413580246,34061.63302469136
"442,443","Furniture, home furn, electronics, and appliance stores",25589.752314814814,26584.418055555554,25479.34398148148,22499.42268518518,27884.223611111112,30488.99212962963,28304.681481481482,26330.21481481481,29467.55648148148,31079.289814814816,31372.602314814816,31320.502314814818,33064.75231481482,34276.41805555556,34170.34398148148,33463.422685185185,35968.22361111111,38500.99212962963,36262.68148148148,35455.21481481481,36429.55648148148,37367.289814814816,37625.602314814816,37403.50231481482,39315.75231481482,40137.41805555556,40101.34398148148,39714.422685185185,41937.22361111111,44380.99212962963,43419.68148148148,44339.21481481481,45884.55648148148,45229.289814814816,44832.602314814816,44099.50231481482,44866.75231481482,44362.41805555556,43765.34398148148,46108.422685185185,46791.22361111111,48202.99212962963,45724.68148148148,47347.21481481481,44907.55648148148,45924.289814814816,47260.602314814816,49947.50231481482,49322.75231481482,49762.41805555556,50736.34398148148,53074.422685185185,52344.22361111111,54460.99212962963,54013.68148148148,56843.21481481481,55074.55648148148,54216.289814814816,55067.602314814816,56981.50231481482,55028.75231481482,54353.41805555556,54629.34398148148,56599.422685185185,54070.22361111111,54859.99212962963,51520.68148148148,49073.21481481481,47344.55648148148,44658.289814814816,44443.602314814816,44655.50231481482,46191.75231481482,46237.41805555556,46181.34398148148,45309.422685185185,47336.22361111111,48537.99212962963,47664.68148148148,48445.21481481481,49333.55648148148,47469.289814814816,48044.602314814816,49030.50231481482,49879.75231481482,48828.41805555556,49480.34398148148,50196.422685185185,50113.22361111111,51406.99212962963,50990.68148148148,53292.21481481481,50801.55648148148,50997.289814814816,51989.602314814816,52702.50231481482,51363.75231481482,51346.41805555556,52125.34398148148,50524.422685185185,51371.22361111111,53584.99212962963,51963.68148148148,53233.21481481481,52409.55648148148,53336.289814814816,53032.602314814816,52519.50231481482,51393.75231481482,53318.41805555556,53548.34398148148,52068.422685185185,49508.22361111111,37737.99212962963,52246.68148148148,50509.21481481481,56056.55648148148,60187.289814814816,59413.602314814816,56893.50231481482,57502.75231481482,60823.41805555556,59434.34398148148,54672.422685185185,58546.22361111111,59130.99212962963,56698.68148148148
442,Furniture and home furnishings stores,13261.01288580247,13420.527700617284,12855.759182098765,12292.07399691358,14243.69899691358,15241.541589506174,13844.36288580247,13560.504552469136,14410.987885802468,14867.167052469134,15056.904552469136,15153.458719135802,15493.01288580247,15856.527700617284,15788.759182098765,15825.07399691358,16893.69899691358,18158.541589506174,16963.362885802468,17125.504552469138,17567.987885802468,17827.167052469136,17901.904552469136,18490.458719135804,18915.01288580247,19220.527700617284,18971.759182098765,19798.07399691358,20570.69899691358,21784.541589506174,21148.362885802468,22224.504552469138,22674.987885802468,22598.167052469136,22534.904552469136,22434.458719135804,22769.01288580247,22629.527700617284,22179.759182098765,23399.07399691358,23879.69899691358,24629.541589506174,23140.362885802468,24222.504552469138,22946.987885802468,23547.167052469136,23992.904552469136,25321.458719135804,25113.01288580247,25193.527700617284,25893.759182098765,27050.07399691358,26530.69899691358,27799.541589506174,27588.362885802468,28635.504552469138,27889.987885802468,27554.167052469136,28212.904552469136,28210.458719135804,27990.01288580247,27637.527700617284,27620.759182098765,27389.07399691358,26510.69899691358,26516.541589506174,24435.362885802468,22691.504552469138,21721.987885802468,20846.167052469136,20837.904552469136,20415.458719135804,21413.01288580247,21210.527700617284,21348.759182098765,20726.07399691358,22124.69899691358,22787.541589506174,22184.362885802468,21923.504552469138,23244.987885802468,22275.167052469136,22571.904552469136,22522.458719135804,23652.01288580247,23433.527700617284,24083.759182098765,24068.07399691358,24571.69899691358,26029.541589506174,25536.362885802468,25828.504552469138,25749.987885802468,26375.167052469136,27107.904552469136,27690.458719135804,27558.01288580247,27776.527700617284,28360.759182098765,28065.07399691358,28471.69899691358,29603.541589506174,28914.362885802468,29753.504552469138,29129.987885802468,29655.167052469136,29537.904552469136,29629.458719135804,28816.01288580247,30288.527700617284,30559.759182098765,30168.07399691358,28640.69899691358,22544.541589506174,31819.362885802468,31454.504552469138,33982.98788580247,35635.167052469136,35223.90455246913,34816.4587191358,34591.01288580247,36380.527700617284,35515.759182098765,34267.07399691358,35429.69899691358,34988.541589506174,33110.36288580247
4421,Furniture stores,7745.2768132716055,7957.543942901235,7638.817091049383,7990.877276234567,8173.539313271605,8983.576350308642,8222.105979938271,8691.639313271606,8229.647646604937,8648.701813271604,8737.830979938271,9334.443479938273,8857.276813271606,9106.543942901235,9152.817091049383,9640.877276234567,9574.539313271605,10437.576350308642,9721.105979938271,10206.639313271606,9936.647646604937,10185.701813271604,10169.830979938271,11032.443479938273,10887.276813271606,10919.543942901235,10697.817091049383,11385.877276234567,11543.539313271605,12048.576350308642,11720.105979938271,12481.639313271606,12553.647646604937,12536.701813271604,12417.830979938271,12556.443479938273,12618.276813271606,12480.543942901235,12188.817091049383,13064.877276234567,13117.539313271605,13490.576350308642,12457.105979938271,12970.639313271606,12364.647646604937,12575.701813271604,12745.830979938271,13480.443479938273,13624.276813271606,13561.543942901235,13918.817091049383,14524.877276234567,14326.539313271605,14901.576350308642,14987.105979938271,15301.639313271606,14973.647646604937,14607.701813271604,15144.830979938271,14843.443479938273,15235.276813271606,14821.543942901235,14714.817091049383,14296.877276234567,14416.539313271605,14209.576350308642,13044.105979938271,11809.639313271606,11828.647646604937,11194.701813271604,11240.830979938271,10993.443479938273,11894.276813271606,11612.543942901235,11655.817091049383,11281.877276234567,12211.539313271605,12382.576350308642,12074.105979938271,11761.639313271606,12883.647646604937,12140.701813271604,12314.830979938271,11860.443479938273,12751.276813271606,12567.543942901235,12932.817091049383,12719.877276234567,13157.539313271605,13917.576350308642,13775.105979938271,13823.639313271606,13891.647646604937,14248.701813271604,14801.830979938271,14801.443479938273,14889.276813271606,14952.543942901235,15203.817091049383,14985.877276234567,15342.539313271605,15807.576350308642,15414.105979938271,15495.639313271606,15373.647646604937,15820.701813271604,15844.830979938271,15565.443479938273,15052.276813271606,16224.543942901235,16601.817091049383,16098.877276234567,15245.539313271605,12620.576350308642,17655.10597993827,17527.639313271604,19084.64764660494,20174.701813271604,19674.830979938273,19525.443479938273,19073.276813271605,20637.543942901237,20160.817091049383,19793.877276234565,19393.539313271605,19366.576350308642,19183.10597993827
4422,Home furnishings stores,5518.124768518519,5404.730787037037,5023.415972222222,3973.939120370371,5599.869675925926,5636.341898148148,4933.162268518518,5608.216435185185,6609.420601851853,6664.666435185185,6688.062268518518,6194.049768518518,6638.124768518519,6691.730787037037,6442.415972222222,5856.939120370371,6848.869675925926,7099.341898148148,6553.162268518518,7658.216435185185,8059.420601851853,8087.666435185185,8101.062268518518,7833.049768518518,8030.124768518519,8242.730787037037,8080.415972222222,8084.939120370371,8556.869675925926,9114.341898148148,8739.16226851852,10482.216435185186,10549.420601851853,10507.666435185185,10486.062268518519,10253.049768518518,10153.124768518519,10090.730787037037,9797.415972222223,10006.93912037037,10291.869675925926,10517.341898148148,9994.16226851852,11991.216435185186,11010.420601851853,11417.666435185185,11616.062268518519,12216.049768518518,11491.124768518519,11573.730787037037,11781.415972222223,12197.93912037037,11733.869675925926,12276.341898148148,11912.16226851852,14073.216435185186,13344.420601851853,13392.666435185185,13437.062268518519,13742.049768518518,12757.124768518519,12757.730787037037,12712.415972222223,12764.93912037037,11623.869675925926,11685.341898148148,10702.16226851852,11621.216435185186,10321.420601851853,10097.666435185185,9966.062268518519,9797.049768518518,9521.124768518519,9539.730787037037,9499.415972222223,9116.93912037037,9442.869675925926,9783.341898148148,9421.16226851852,10901.216435185186,10789.420601851853,10580.666435185185,10626.062268518519,11037.049768518518,10903.124768518519,10807.730787037037,10957.415972222223,11020.93912037037,10943.869675925926,11490.341898148148,11072.16226851852,12744.216435185186,12286.420601851853,12572.666435185185,12675.062268518519,13264.049768518518,12671.124768518519,12765.730787037037,12963.415972222223,12751.93912037037,12658.869675925926,13174.341898148148,12811.16226851852,14997.216435185186,14184.420601851853,14280.666435185185,14062.062268518519,14439.049768518518,13766.124768518519,14005.730787037037,13764.415972222223,13741.93912037037,12924.869675925926,9302.341898148148,13475.16226851852,-858.7835648148146,1632.420601851852,714.6664351851848,215.06226851851847,-1318.9502314814818,1066.1247685185187,365.7307870370373,-280.58402777777775,-2015.0608796296294,931.8696759259255,317.34189814814783,-769.8377314814813
