DATE,GDPC1,Quarter
1947-01-01,2182.681,Q1 1947
1947-04-01,2176.892,Q2 1947
1947-07-01,2172.432,Q3 1947
1947-10-01,2206.452,Q4 1947
1948-01-01,2239.682,Q1 1948
1948-04-01,2276.69,Q2 1948
1948-07-01,2289.77,Q3 1948
1948-10-01,2292.364,Q4 1948
1949-01-01,2260.807,Q1 1949
1949-04-01,2253.128,Q2 1949
1949-07-01,2276.424,Q3 1949
1949-10-01,2257.352,Q4 1949
1950-01-01,2346.104,Q1 1950
1950-04-01,2417.682,Q2 1950
1950-07-01,2511.127,Q3 1950
1950-10-01,2559.214,Q4 1950
1951-01-01,2593.967,Q1 1951
1951-04-01,2638.898,Q2 1951
1951-07-01,2693.259,Q3 1951
1951-10-01,2699.156,Q4 1951
1952-01-01,2727.954,Q1 1952
1952-04-01,2733.8,Q2 1952
1952-07-01,2753.517,Q3 1952
1952-10-01,2843.941,Q4 1952
1953-01-01,2896.811,Q1 1953
1953-04-01,2919.206,Q2 1953
1953-07-01,2902.785,Q3 1953
1953-10-01,2858.845,Q4 1953
1954-01-01,2845.192,Q1 1954
1954-04-01,2848.305,Q2 1954
1954-07-01,2880.482,Q3 1954
1954-10-01,2936.852,Q4 1954
1955-01-01,3020.746,Q1 1955
1955-04-01,3069.91,Q2 1955
1955-07-01,3111.379,Q3 1955
1955-10-01,3130.068,Q4 1955
1956-01-01,3117.922,Q1 1956
1956-04-01,3143.694,Q2 1956
1956-07-01,3140.874,Q3 1956
1956-10-01,3192.57,Q4 1956
1957-01-01,3213.011,Q1 1957
1957-04-01,3205.97,Q2 1957
1957-07-01,3237.386,Q3 1957
1957-10-01,3203.894,Q4 1957
1958-01-01,3120.724,Q1 1958
1958-04-01,3141.224,Q2 1958
1958-07-01,3213.884,Q3 1958
1958-10-01,3289.032,Q4 1958
1959-01-01,3352.129,Q1 1959
1959-04-01,3427.667,Q2 1959
1959-07-01,3430.057,Q3 1959
1959-10-01,3439.832,Q4 1959
1960-01-01,3517.181,Q1 1960
1960-04-01,3498.246,Q2 1960
1960-07-01,3515.385,Q3 1960
1960-10-01,3470.278,Q4 1960
1961-01-01,3493.703,Q1 1961
1961-04-01,3553.021,Q2 1961
1961-07-01,3621.252,Q3 1961
1961-10-01,3692.289,Q4 1961
1962-01-01,3758.147,Q1 1962
1962-04-01,3792.149,Q2 1962
1962-07-01,3838.776,Q3 1962
1962-10-01,3851.421,Q4 1962
1963-01-01,3893.482,Q1 1963
1963-04-01,3937.183,Q2 1963
1963-07-01,4023.755,Q3 1963
