Quarters,Home Value Index
Q1 2000,120682.0
Q2 2000,122156.33333333333
Q3 2000,124378.66666666667
Q4 2000,126852.0
Q1 2001,129103.33333333333
Q2 2001,131225.0
Q3 2001,133631.66666666666
Q4 2001,136075.66666666666
Q1 2002,138097.0
Q2 2002,140193.33333333334
Q3 2002,142863.66666666666
Q4 2002,145729.0
Q1 2003,148240.0
Q2 2003,150821.33333333334
Q3 2003,153910.0
Q4 2003,157254.66666666666
Q1 2004,160327.0
Q2 2004,164186.66666666666
Q3 2004,169095.66666666666
Q4 2004,173918.66666666666
Q1 2005,178361.33333333334
Q2 2005,183436.66666666666
Q3 2005,189175.0
Q4 2005,194512.0
Q1 2006,198531.66666666666
Q2 2006,202232.0
Q3 2006,204876.33333333334
Q4 2006,205850.66666666666
Q1 2007,206042.33333333334
Q2 2007,205955.33333333334
Q3 2007,204654.66666666666
Q4 2007,202372.66666666666
Q1 2008,199162.0
Q2 2008,194946.33333333334
Q3 2008,189894.33333333334
Q4 2008,184436.33333333334
Q1 2009,179511.66666666666
Q2 2009,175593.33333333334
Q3 2009,172276.66666666666
Q4 2009,170206.66666666666
Q1 2010,169825.33333333334
Q2 2010,169894.66666666666
Q3 2010,168444.33333333334
Q4 2010,165535.33333333334
Q1 2011,162883.0
Q2 2011,160435.66666666666
Q3 2011,158322.0
Q4 2011,156878.0
Q1 2012,156321.33333333334
Q2 2012,157270.66666666666
Q3 2012,158838.0
Q4 2012,160698.0
Q1 2013,163235.66666666666
Q2 2013,166509.33333333334
Q3 2013,170232.0
Q4 2013,173557.0
Q1 2014,176149.33333333334
Q2 2014,178814.66666666666
Q3 2014,181224.66666666666
Q4 2014,182828.0
Q1 2015,185032.0
Q2 2015,187675.66666666666
Q3 2015,190636.0
Q4 2015,193951.33333333334
Q1 2016,197169.66666666666
Q2 2016,199700.0
Q3 2016,201991.66666666666
Q4 2016,204684.0
Q1 2017,207987.66666666666
Q2 2017,211531.33333333334
Q3 2017,214462.66666666666
Q4 2017,217725.33333333334
Q1 2018,221437.66666666666
Q2 2018,225125.33333333334
Q3 2018,228329.33333333334
Q4 2018,230935.33333333334
Q1 2019,233843.33333333334
Q2 2019,236836.0
Q3 2019,238881.0
Q4 2019,241638.66666666666
Q1 2020,245983.0
Q2 2020,249474.33333333334
Q3 2020,252677.33333333334
Q4 2020,262249.6666666667
Q1 2021,273330.3333333333
Q2 2021,286064.3333333333
Q3 2021,298209.0
Q4 2021,305263.6666666667
Q1 2022,318195.6666666667
Q2 2022,335447.3333333333
Q3 2022,342607.3333333333
Q4 2022,339716.6666666667
Q1 2023,337004.0
Q2 2023,339352.3333333333
Q3 2023,344392.6666666667
Q4 2023,115551.0
