DATE,ZHVI
1/1/2000,120453.9614
2/1/2000,120665.8786
3/1/2000,120928.687
4/1/2000,121492.3595
5/1/2000,122141.079
6/1/2000,122836.5938
7/1/2000,123573.2801
8/1/2000,124368.4613
9/1/2000,125195.591
10/1/2000,126025.8709
11/1/2000,126852.1749
12/1/2000,127679.595
1/1/2001,128439.1192
2/1/2001,129111.7618
3/1/2001,129760.5362
4/1/2001,130462.0055
5/1/2001,131218.9982
6/1/2001,131995.6564
7/1/2001,132794.8092
8/1/2001,133629.6849
9/1/2001,134472.0083
10/1/2001,135310.7123
11/1/2001,136092.4278
12/1/2001,136825.3015
1/1/2002,137473.4613
2/1/2002,138093.4128
3/1/2002,138725.4254
4/1/2002,139413.0306
5/1/2002,140172.5036
6/1/2002,140995.1638
7/1/2002,141897.0424
8/1/2002,142859.9503
9/1/2002,143835.6649
10/1/2002,144809.9047
11/1/2002,145737.8006
12/1/2002,146641.1345
1/1/2003,147458.6061
2/1/2003,148240.8098
3/1/2003,149022.5901
4/1/2003,149873.6999
5/1/2003,150810.139
6/1/2003,151781.6071
7/1/2003,152803.9369
8/1/2003,153889.7501
9/1/2003,155038.7008
10/1/2003,156198.1107
11/1/2003,157276.2359
12/1/2003,158290.0403
1/1/2004,159257.9725
2/1/2004,160292.0347
3/1/2004,161432.8684
4/1/2004,162708.2247
5/1/2004,164144.3345
6/1/2004,165708.3159
7/1/2004,167393.6521
8/1/2004,169103.2346
9/1/2004,170791.1685
10/1/2004,172408.6908
11/1/2004,173926.8551
12/1/2004,175422.5453
1/1/2005,176869.7354
2/1/2005,178346.2539
3/1/2005,179869.3854
4/1/2005,181585.2538
5/1/2005,183408.0074
6/1/2005,185317.1728
7/1/2005,187240.5673
8/1/2005,189186.079
9/1/2005,191099.3149
10/1/2005,192911.4157
11/1/2005,194565.6727
12/1/2005,196060.3813
1/1/2006,197340.3613
2/1/2006,198529.0811
3/1/2006,199726.3658
4/1/2006,201012.8178
5/1/2006,202282.5459
6/1/2006,203402.4351
7/1/2006,204279.8582
8/1/2006,204954.8991
9/1/2006,205396.9046
10/1/2006,205709.0468
11/1/2006,205872.6315
12/1/2006,205971.3425
1/1/2007,206007.8339
2/1/2007,206046.6789
3/1/2007,206074.7069
4/1/2007,206103.2443
5/1/2007,206012.3023
6/1/2007,205751.0106
7/1/2007,205265.6181
8/1/2007,204692.3296
